axis_id,layer,alpha,mean_logprob_diff,delta_logprob_diff,delta_ci_low,delta_ci_high,prompts,positions
congenital_cardiac_vs_other_congenital_ccs,27,-6.0,-12.807845585484756,-0.012478360799529279,-0.013384943466371625,-0.011547583329956979,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,-4.0,-12.803683602105593,-0.00831637742036643,-0.008922600896282044,-0.007671117940723586,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,-2.0,-12.799523819082728,-0.004156594397500157,-0.004468469891192702,-0.0038430933869676664,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,-1.0,-12.797444766726889,-0.002077542041661218,-0.0022297523049928714,-0.001915835101923828,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,0.0,-12.795367224685227,0.0,0.0,0.0,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,1.0,-12.793287150008837,0.0020800746763901166,0.0019179786012197533,0.0022321723496133926,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,2.0,-12.791210129100364,0.004157095584863176,0.0038401946614612823,0.004455060683540069,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,4.0,-12.787056320298385,0.008310904386841381,0.007664145620704706,0.008906595826313908,96,prompt_all
congenital_cardiac_vs_other_congenital_ccs,27,6.0,-12.782902223533407,0.012465001151819402,0.011484577268856811,0.013365558562024185,96,prompt_all
diabetes_complication_status_ccs,21,-6.0,6.390605448020829,-0.001168821007013321,-0.001757511900117,-0.0005620378897421891,18,prompt_all
diabetes_complication_status_ccs,21,-4.0,6.390993130289846,-0.0007811387379964193,-0.0011645991562141314,-0.0003621571386853857,18,prompt_all
diabetes_complication_status_ccs,21,-2.0,6.391382388356659,-0.00039188067118326825,-0.0005825141341321998,-0.00017745094373822218,18,prompt_all
diabetes_complication_status_ccs,21,-1.0,6.3915767624146405,-0.00019750661320156522,-0.0002958768875234657,-9.717906100882428e-05,18,prompt_all
diabetes_complication_status_ccs,21,0.0,6.3917742690278425,0.0,0.0,0.0,18,prompt_all
diabetes_complication_status_ccs,21,1.0,6.391967655469974,0.00019338644213146635,9.388116498788198e-05,0.000291405783759223,18,prompt_all
diabetes_complication_status_ccs,21,2.0,6.392161324620247,0.0003870555924044715,0.00018040567843450442,0.0005833517656558089,18,prompt_all
diabetes_complication_status_ccs,21,4.0,6.392550797926055,0.0007765288982126447,0.0003683270886540413,0.0011640395658711594,18,prompt_all
diabetes_complication_status_ccs,21,6.0,6.392942157470518,0.0011678884426752727,0.0005309827832712067,0.001745766856604152,18,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,-6.0,0.4643721857891251,-0.00033744737156666816,-0.00039788990813677727,-0.0002745657495769491,90,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,-4.0,0.4644848772995728,-0.00022475586111896618,-0.0002648551167163128,-0.0001838302815465593,90,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,-2.0,0.4645984515690543,-0.00011118159163743257,-0.0001313572182920729,-9.087844524199481e-05,90,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,-1.0,0.4646538376815948,-5.579547909696379e-05,-6.633884828059106e-05,-4.5538604764361585e-05,90,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,0.0,0.46470963316069175,0.0,0.0,0.0,90,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,1.0,0.4647658670231067,5.6233862414956094e-05,4.6070592288742775e-05,6.646175481566589e-05,90,prompt_all
