axis_id,layer,mean_prompt_slope,slope_ci_low,slope_ci_high,positive_slope_fraction,prompts,positions
congenital_cardiac_vs_other_congenital_ccs,27,0.0020785464528043983,0.0019240541855157192,0.002223427985299226,1.0,96,prompt_all
diabetes_complication_status_ccs,21,0.00019473414759189762,9.250637764732042e-05,0.0002896159019531794,0.7777777777777778,18,prompt_all
drug_poisoning_vs_nondrug_poisoning_ccs,27,5.61211722245763e-05,4.604718844392422e-05,6.648611832227574e-05,0.8555555555555555,90,prompt_all
eye_inflammation_vs_other_eye_ccs,27,0.002361868148021487,0.0022325977196982296,0.002481440661307588,1.0,120,prompt_all
infectious_etiology_ccs,33,0.0018403050800164544,0.001816859979792471,0.0018624820124510434,1.0,120,prompt_all
intracranial_injury_vs_upper_limb_fracture_ccs,33,0.0010990230377480301,0.0010864902689116216,0.0011118675437783113,1.0,120,prompt_all
joint_dislocation_vs_sprain_ccs,24,0.0015362694495111126,0.0014644827525923268,0.0016116855179880002,1.0,102,prompt_all
musculoskeletal_infective_vs_nontraumatic_joint_ccs,26,0.002890898948991453,0.0027330197715403496,0.0030341003941160055,1.0,120,prompt_all
open_wounds_head_trunk_vs_extremity_ccs,33,3.1820331290524796e-08,3.0903054516511514e-09,6.192604297122503e-08,0.47368421052631576,114,prompt_all
pregnancy_complications_vs_birth_puerperium_ccs,28,-2.7385784311763643e-06,-1.2919796017940183e-05,7.10496130161427e-06,0.5333333333333333,120,prompt_all
