axis_id,side,split,pair_id,template_id,label_logprob_diff,prompt
diabetes_complication_status_ccs,positive,test,diabetes_complication_status_ccs_0001_4b7ae5f774,8,-1.020627498626709,"The diagnosis text is 'Secondary diabetes mellitus, uncontrolled'. In this experiment, its medical concept side is"
diabetes_complication_status_ccs,positive,test,diabetes_complication_status_ccs_0001_4b7ae5f774,9,9.107311718165874,"Medical concept extraction task. Input diagnosis: Secondary diabetes mellitus, uncontrolled. Output concept:"
diabetes_complication_status_ccs,positive,test,diabetes_complication_status_ccs_0001_4b7ae5f774,10,6.333733528852463,"Given the ICD description Secondary diabetes mellitus, uncontrolled and code 249.01, classify the concept as"
diabetes_complication_status_ccs,negative,test,diabetes_complication_status_ccs_0001_4b7ae5f774,8,-7.158671021461487,"The diagnosis text is 'Acetonuria'. In this experiment, its medical concept side is"
diabetes_complication_status_ccs,negative,test,diabetes_complication_status_ccs_0001_4b7ae5f774,9,-6.610662460327148,Medical concept extraction task. Input diagnosis: Acetonuria. Output concept:
diabetes_complication_status_ccs,negative,test,diabetes_complication_status_ccs_0001_4b7ae5f774,10,-9.300034537911415,"Given the ICD description Acetonuria and code 791.6, classify the concept as"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,1,2.598179340362549,"Clinical coding note: ICD 249.31 is described as Secondary diabetes mellitus with other coma, uncontrolled. The contrastive medical concept is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,2,9.899014353752136,"Medical ontology entry: Secondary diabetes mellitus with other coma, uncontrolled (249.31). The best concept label is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,3,10.658828139305115,"A clinician reviews the diagnosis 'Secondary diabetes mellitus with other coma, uncontrolled' with ICD code 249.31. This diagnosis belongs to the concept"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,4,8.385925769805908,"In a diagnostic terminology table, 249.31 means Secondary diabetes mellitus with other coma, uncontrolled. The relevant concept category is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,5,9.714755296707153,"Coding audit: diagnosis=249.31; description=Secondary diabetes mellitus with other coma, uncontrolled. Assign the medical concept label:"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,6,11.577761173248291,"EHR problem list item: Secondary diabetes mellitus with other coma, uncontrolled. The high-level concept represented by this item is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0002_8a721bf3b0,7,0.021388977766036987,"For ICD concept 249.31, 'Secondary diabetes mellitus with other coma, uncontrolled', the contrastive label should be"
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,1,1.895517349243164,Clinical coding note: ICD 791.5 is described as Glycosuria. The contrastive medical concept is
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,2,0.4724998474121094,Medical ontology entry: Glycosuria (791.5). The best concept label is
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,3,-3.8320841789245605,A clinician reviews the diagnosis 'Glycosuria' with ICD code 791.5. This diagnosis belongs to the concept
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,4,4.091301441192627,"In a diagnostic terminology table, 791.5 means Glycosuria. The relevant concept category is"
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,5,-6.001576662063599,Coding audit: diagnosis=791.5; description=Glycosuria. Assign the medical concept label:
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,6,-9.665904819965363,EHR problem list item: Glycosuria. The high-level concept represented by this item is
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0002_8a721bf3b0,7,-6.923430919647217,"For ICD concept 791.5, 'Glycosuria', the contrastive label should be"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,1,0.6369441598653793,"Clinical coding note: ICD 249.11 is described as Secondary diabetes mellitus with ketoacidosis, uncontrolled. The contrastive medical concept is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,2,11.483459234237671,"Medical ontology entry: Secondary diabetes mellitus with ketoacidosis, uncontrolled (249.11). The best concept label is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,3,12.391399204730988,"A clinician reviews the diagnosis 'Secondary diabetes mellitus with ketoacidosis, uncontrolled' with ICD code 249.11. This diagnosis belongs to the concept"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,4,7.860887765884399,"In a diagnostic terminology table, 249.11 means Secondary diabetes mellitus with ketoacidosis, uncontrolled. The relevant concept category is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,5,8.940128564834595,"Coding audit: diagnosis=249.11; description=Secondary diabetes mellitus with ketoacidosis, uncontrolled. Assign the medical concept label:"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,6,13.827179998159409,"EHR problem list item: Secondary diabetes mellitus with ketoacidosis, uncontrolled. The high-level concept represented by this item is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0003_6699474c2c,7,1.290182113647461,"For ICD concept 249.11, 'Secondary diabetes mellitus with ketoacidosis, uncontrolled', the contrastive label should be"
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,1,-7.550540924072266,Clinical coding note: ICD 790.2 is described as Abnormal glucose. The contrastive medical concept is
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,2,-8.856279611587524,Medical ontology entry: Abnormal glucose (790.2). The best concept label is
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,3,-7.242727756500244,A clinician reviews the diagnosis 'Abnormal glucose' with ICD code 790.2. This diagnosis belongs to the concept
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,4,-9.383354187011719,"In a diagnostic terminology table, 790.2 means Abnormal glucose. The relevant concept category is"
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,5,-8.803735852241516,Coding audit: diagnosis=790.2; description=Abnormal glucose. Assign the medical concept label:
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,6,-12.48654818534851,EHR problem list item: Abnormal glucose. The high-level concept represented by this item is
diabetes_complication_status_ccs,negative,train,diabetes_complication_status_ccs_0003_6699474c2c,7,-10.329897001385689,"For ICD concept 790.2, 'Abnormal glucose', the contrastive label should be"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0004_fbc745847e,1,1.5618313699960709,"Clinical coding note: ICD 249.21 is described as Secondary diabetes mellitus with hyperosmolarity, uncontrolled. The contrastive medical concept is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0004_fbc745847e,2,7.811367511749268,"Medical ontology entry: Secondary diabetes mellitus with hyperosmolarity, uncontrolled (249.21). The best concept label is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0004_fbc745847e,3,11.982753932476044,"A clinician reviews the diagnosis 'Secondary diabetes mellitus with hyperosmolarity, uncontrolled' with ICD code 249.21. This diagnosis belongs to the concept"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0004_fbc745847e,4,6.306391000747681,"In a diagnostic terminology table, 249.21 means Secondary diabetes mellitus with hyperosmolarity, uncontrolled. The relevant concept category is"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0004_fbc745847e,5,10.416171729564667,"Coding audit: diagnosis=249.21; description=Secondary diabetes mellitus with hyperosmolarity, uncontrolled. Assign the medical concept label:"
diabetes_complication_status_ccs,positive,train,diabetes_complication_status_ccs_0004_fbc745847e,6,11.139154434204102,"EHR problem list item: Secondary diabetes mellitus with hyperosmolarity, uncontrolled. The high-level concept represented by this item is"
