axis_id,axis_description,axis_family,primary_axis,side,side_name,concept_label,opposite_label,pair_id,pair_split,template_id,template_split,split,icd_code,icd_description,ccs_code,ccs_label,ccs_source,ccs_string,prompt
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,1,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"Clinical coding note: ICD 249.01 is described as Secondary diabetes mellitus, uncontrolled. The contrastive medical concept is"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,2,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"Medical ontology entry: Secondary diabetes mellitus, uncontrolled (249.01). The best concept label is"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,3,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"A clinician reviews the diagnosis 'Secondary diabetes mellitus, uncontrolled' with ICD code 249.01. This diagnosis belongs to the concept"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,4,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"In a diagnostic terminology table, 249.01 means Secondary diabetes mellitus, uncontrolled. The relevant concept category is"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,5,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"Coding audit: diagnosis=249.01; description=Secondary diabetes mellitus, uncontrolled. Assign the medical concept label:"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,6,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"EHR problem list item: Secondary diabetes mellitus, uncontrolled. The high-level concept represented by this item is"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,7,train,calibration,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"For ICD concept 249.01, 'Secondary diabetes mellitus, uncontrolled', the contrastive label should be"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,8,test,test,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"The diagnosis text is 'Secondary diabetes mellitus, uncontrolled'. In this experiment, its medical concept side is"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,9,test,test,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"Medical concept extraction task. Input diagnosis: Secondary diabetes mellitus, uncontrolled. Output concept:"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,positive,with_complications,Diabetes mellitus with complications,Diabetes mellitus without complication,diabetes_complication_status_ccs_0001_4b7ae5f774,test,10,test,test,249.01,"Secondary diabetes mellitus, uncontrolled",50,Diabetes mellitus with complications,appendix_a_single_dx,Diabetes mellitus with complications,"Given the ICD description Secondary diabetes mellitus, uncontrolled and code 249.01, classify the concept as"
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,negative,without_complication,Diabetes mellitus without complication,Diabetes mellitus with complications,diabetes_complication_status_ccs_0001_4b7ae5f774,test,1,train,calibration,791.6,Acetonuria,49,Diabetes mellitus without complication,appendix_a_single_dx,Diabetes mellitus without complication,Clinical coding note: ICD 791.6 is described as Acetonuria. The contrastive medical concept is
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,negative,without_complication,Diabetes mellitus without complication,Diabetes mellitus with complications,diabetes_complication_status_ccs_0001_4b7ae5f774,test,2,train,calibration,791.6,Acetonuria,49,Diabetes mellitus without complication,appendix_a_single_dx,Diabetes mellitus without complication,Medical ontology entry: Acetonuria (791.6). The best concept label is
diabetes_complication_status_ccs,"CCS diabetes complication status: CCS 50 versus CCS 49, excluding pregnancy-related diabetes CCS 186.",diabetes_ccs,True,negative,without_complication,Diabetes mellitus without complication,Diabetes mellitus with complications,diabetes_complication_status_ccs_0001_4b7ae5f774,test,3,train,calibration,791.6,Acetonuria,49,Diabetes mellitus without complication,appendix_a_single_dx,Diabetes mellitus without complication,A clinician reviews the diagnosis 'Acetonuria' with ICD code 791.6. This diagnosis belongs to the concept
