axis_id,layer,position,count,mean_normalized_score,median_normalized_score,std_normalized_score,ci_low,ci_high
congenital_cardiac_vs_other_congenital_ccs,25,-4,16,0.0064660956269387195,0.002792592031496513,0.017923626868547378,-0.0006348927563106933,0.01566187396035643
congenital_cardiac_vs_other_congenital_ccs,25,-3,16,0.013161838083589823,-0.0017758593354172945,0.05194048630669641,-0.008799078429949238,0.04062597994251604
congenital_cardiac_vs_other_congenital_ccs,25,-2,16,0.0046585133750662155,0.0007483429463081391,0.03403143155867573,-0.010670472659078278,0.02130497502295261
congenital_cardiac_vs_other_congenital_ccs,25,-1,16,0.012167078371804786,0.0019244627913496716,0.7385591002219578,-0.35172546215440903,0.34424298524545677
congenital_cardiac_vs_other_congenital_ccs,26,-4,16,0.0009431695952130371,-0.00011283948127568637,0.012842893525404998,-0.005051913568897689,0.007309025304260699
congenital_cardiac_vs_other_congenital_ccs,26,-3,16,0.013464162739683623,0.0013796540058590482,0.05644307443241215,-0.010307459890536901,0.04178882532795623
congenital_cardiac_vs_other_congenital_ccs,26,-2,16,0.004209638291076193,0.00021953629897852954,0.03356749805473519,-0.011099827966657611,0.020521157752680416
congenital_cardiac_vs_other_congenital_ccs,26,-1,16,0.03958916840948801,0.006566331825739122,0.8379387661334179,-0.35643188458871083,0.4373189018234675
congenital_cardiac_vs_other_congenital_ccs,27,-4,16,-0.0007190633342449007,0.00033912304175123787,0.009583063445717504,-0.005417167234687095,0.00340448765981811
congenital_cardiac_vs_other_congenital_ccs,27,-3,16,0.008207122903976329,0.0010920937402536016,0.06233400818691524,-0.018934139848299395,0.04112586297511048
congenital_cardiac_vs_other_congenital_ccs,27,-2,16,0.013271970467055147,0.002911508634189517,0.032065498683644514,-0.0006273610165094997,0.029598185308192616
congenital_cardiac_vs_other_congenital_ccs,27,-1,16,0.021007428042042187,0.012963681778427568,0.8460398016644374,-0.3784495113866483,0.42247672640514045
congenital_cardiac_vs_other_congenital_ccs,28,-4,16,-0.0011822143918976135,-0.0016840689007559207,0.00916034576194289,-0.005499300694882643,0.002980999793411664
