axis_id,pair_index,pair_id,layer,position,clean_logprob_diff,corrupt_logprob_diff,patched_logprob_diff,normalized_score,positive_prompt,negative_prompt
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,25,-1,-14.613051176071167,-12.202067077159882,-15.518524527549744,-0.37556172680170563,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,25,-2,-14.613051176071167,-12.202067077159882,-14.547942757606506,0.02700491409049993,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,25,-3,-14.613051176071167,-12.202067077159882,-14.632392168045044,-0.008022032157993351,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,25,-4,-14.613051176071167,-12.202067077159882,-14.604287266731262,0.0036349925923867582,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,26,-1,-14.613051176071167,-12.202067077159882,-15.70333468914032,-0.4522151405152303,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,26,-2,-14.613051176071167,-12.202067077159882,-14.529513835906982,0.03464864832659289,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,26,-3,-14.613051176071167,-12.202067077159882,-14.636609077453613,-0.009771072896368001,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,26,-4,-14.613051176071167,-12.202067077159882,-14.60272467136383,0.004283107761681011,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,27,-1,-14.613051176071167,-12.202067077159882,-15.658320784568787,-0.43354479565818216,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,27,-2,-14.613051176071167,-12.202067077159882,-14.531778693199158,0.0337092571073816,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,27,-3,-14.613051176071167,-12.202067077159882,-14.639108419418335,-0.01080772094636978,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,27,-4,-14.613051176071167,-12.202067077159882,-14.592862129211426,0.008373778520089728,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,28,-1,-14.613051176071167,-12.202067077159882,-15.747920274734497,-0.47070783219839424,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,28,-2,-14.613051176071167,-12.202067077159882,-14.548673033714294,0.0267020186429033,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,28,-3,-14.613051176071167,-12.202067077159882,-14.62605357170105,-0.00539298273918697,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,28,-4,-14.613051176071167,-12.202067077159882,-14.602924585342407,0.004200189762069594,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,29,-1,-14.613051176071167,-12.202067077159882,-15.758403182029724,-0.47505581081009923,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,29,-2,-14.613051176071167,-12.202067077159882,-14.521151542663574,0.03811706325607513,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,29,-3,-14.613051176071167,-12.202067077159882,-14.619398832321167,-0.0026328071814602076,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
congenital_cardiac_vs_other_congenital_ccs,1,congenital_cardiac_vs_other_congenital_ccs_0006_ed59a283c6,29,-4,-14.613051176071167,-12.202067077159882,-14.593728303909302,0.008014516632685697,"Given the ICD description Patent ductus arteriosus and code 747.0, classify the concept as","Given the ICD description Pataus syndrome and code 758.1, classify the concept as"
