axis_id,layer,rank,feature_id,axis_contribution,activation_diff,decoder_axis_dot,pairs,sae_release,sae_id
drug_poisoning_vs_nondrug_poisoning_ccs,27,1,408,53.662879943847656,-205.58578491210938,-0.26102426648139954,45,gemma-scope-2-4b-it-res-all,layer_27_width_16k_l0_small
musculoskeletal_infective_vs_nontraumatic_joint_ccs,26,1,1088,43.78092956542969,280.7492980957031,0.1559431552886963,60,gemma-scope-2-4b-it-res-all,layer_26_width_16k_l0_small
congenital_cardiac_vs_other_congenital_ccs,27,1,2243,38.63969039916992,60.025543212890625,0.643720805644989,48,gemma-scope-2-4b-it-res-all,layer_27_width_16k_l0_small
joint_dislocation_vs_sprain_ccs,24,1,1439,26.552690505981445,-211.2185821533203,-0.12571190297603607,52,gemma-scope-2-4b-it-res-all,layer_24_width_16k_l0_small
diabetes_complication_status_ccs,21,1,4362,25.737979888916016,-213.48182678222656,-0.12056285887956619,9,gemma-scope-2-4b-it-res-all,layer_21_width_16k_l0_small
musculoskeletal_infective_vs_nontraumatic_joint_ccs,26,2,499,23.272174835205078,-226.78160095214844,-0.10261932760477066,60,gemma-scope-2-4b-it-res-all,layer_26_width_16k_l0_small
musculoskeletal_infective_vs_nontraumatic_joint_ccs,26,3,1016,21.743452072143555,-323.6306457519531,-0.06718601286411285,60,gemma-scope-2-4b-it-res-all,layer_26_width_16k_l0_small
musculoskeletal_infective_vs_nontraumatic_joint_ccs,26,4,142,21.280038833618164,174.77874755859375,0.12175415456295013,60,gemma-scope-2-4b-it-res-all,layer_26_width_16k_l0_small
drug_poisoning_vs_nondrug_poisoning_ccs,27,2,267,21.20883560180664,-82.32112884521484,-0.2576353847980499,45,gemma-scope-2-4b-it-res-all,layer_27_width_16k_l0_small
eye_inflammation_vs_other_eye_ccs,27,1,8539,21.183528900146484,322.76043701171875,0.06563235819339752,60,gemma-scope-2-4b-it-res-all,layer_27_width_16k_l0_small
